아가, 62, 154
마가, 53, 199
바파, 96, 178
가자, 50, 163
다자, 81, 177
파아, 80, 149
타카, 93, 170
나다, 77, 166
라마, 94, 199
나하, 60, 172
라마, 51, 159
파카, 96, 141
아마, 53, 194
나가, 58, 151
자카, 53, 157
라아, 42, 145
아카, 75, 158
바바, 80, 164
사아, 62, 161
라사, 94, 166
다파, 47, 161
자카, 93, 141
바가, 74, 163
가자, 78, 189
바가, 83, 189
다라, 94, 199
하자, 99, 168
파타, 83, 181
하타, 96, 163
아바, 92, 141
파카, 90, 178
자가, 85, 160
아바, 80, 147
다다, 95, 177
바가, 89, 174
타사, 40, 190
라아, 73, 198
바라, 72, 173
마라, 41, 170
타아, 78, 197
카바, 77, 187
가아, 72, 180
라다, 91, 172
타자, 49, 180
라사, 62, 160
아자, 70, 144
카라, 79, 175
자사, 94, 158
하타, 67, 198
가사, 91, 155
하하, 84, 165
자라, 80, 151
사바, 62, 142
하파, 82, 184
다바, 50, 149
아파, 92, 184
바아, 70, 170
마아, 81, 174
파타, 77, 161
라가, 69, 182
다라, 83, 173
자사, 42, 183
사아, 78, 182
자타, 53, 185
사파, 44, 184
다다, 68, 144
파자, 48, 185
사사, 65, 176
파하, 52, 154
나카, 93, 162
파사, 55, 178
사아, 93, 151
라하, 57, 195
하다, 73, 188
하바, 40, 160
바카, 42, 172
카카, 91, 182
파아, 67, 144
라타, 73, 144
하바, 58, 190
가카, 88, 160
바바, 65, 151
타타, 76, 193
라사, 55, 178
아라, 74, 143
아아, 97, 153
가나, 70, 189
파마, 95, 199
라하, 66, 182
나자, 46, 199
타가, 72, 185
자하, 80, 172
바자, 40, 173
아자, 66, 171
타다, 55, 157
라타, 42, 184
파카, 89, 168
바가, 67, 183
타사, 79, 140
아타, 70, 190
사나, 83, 155
사바, 80, 184
파바, 73, 175
사라, 92, 186
나라, 49, 176
카하, 86, 143
아라, 41, 143
바타, 47, 145
가나, 66, 148
나가, 72, 146
라아, 40, 199
바라, 77, 155
가바, 74, 165
사마, 65, 187
나라, 73, 147
라가, 88, 195
가다, 73, 156
사가, 99, 156
사마, 78, 158
타타, 58, 152
타가, 95, 195
카파, 87, 173
마가, 57, 165
마파, 81, 140
나하, 82, 196
라자, 53, 190
마가, 95, 197
파아, 48, 177
바다, 70, 184
마바, 66, 154
타라, 89, 155
사하, 91, 148
라라, 91, 177
라파, 47, 157
라하, 43, 176
나카, 88, 182
파타, 43, 148
바파, 89, 168
하사, 44, 162
마마, 40, 191
타가, 63, 167
아가, 96, 194
하자, 98, 172
자카, 43, 170
카라, 61, 191
가바, 61, 147
사카, 81, 155
가파, 61, 181
파라, 52, 180
라파, 48, 171
사가, 96, 154
라라, 58, 197
나카, 78, 141
카바, 74, 177
아타, 68, 168
바파, 40, 188
파다, 55, 150
카라, 77, 189
다라, 50, 189
카나, 82, 197
라파, 98, 191
아카, 44, 146
사하, 91, 157
파타, 77, 158
자하, 43, 155
마라, 53, 166
아다, 97, 143
마바, 82, 146
아아, 79, 147
타하, 75, 140
라다, 99, 171
다파, 95, 148
하아, 96, 165
파자, 99, 176
카타, 55, 159
바아, 51, 181
타라, 81, 140
아하, 73, 148
마사, 46, 172
사나, 96, 194
하다, 53, 180
라나, 68, 147
아가, 40, 169
나바, 95, 160
파마, 83, 152
라사, 64, 148
카사, 85, 198
아아, 75, 170
사자, 54, 186
바라, 88, 178
아나, 49, 193
가가, 75, 155
라사, 83, 196
가다, 79, 154
파카, 60, 185
가카, 78, 195
사하, 51, 166
하다, 59, 164
사라, 72, 154
타하, 82, 164
타마, 62, 155
하마, 64, 194
라아, 80, 145
나나, 46, 179
바타, 99, 140
아타, 87, 173
라마, 45, 154
바사, 50, 191
사카, 94, 169
사자, 55, 160
카아, 84, 169
가카, 62, 147
파자, 57, 152
사바, 92, 199
가다, 99, 186
라하, 72, 188
사다, 44, 163
나사, 58, 167
라아, 43, 149
사가, 88, 160
바마, 42, 147
자다, 87, 144
카마, 51, 180
아나, 67, 167
바카, 88, 182
카라, 70, 150
라라, 52, 142
타카, 95, 190
마자, 49, 154
자바, 45, 192
나가, 54, 173
파마, 99, 196
다가, 95, 143
마라, 86, 140
가하, 96, 198
나아, 74, 191
아아, 60, 163
타다, 86, 170
파가, 61, 159
하파, 55, 153
하다, 80, 161
바카, 88, 184
하자, 54, 186
아다, 75, 180
파가, 93, 166
타바, 73, 165
마다, 68, 156
카마, 76, 186
마카, 53, 189
아아, 48, 184
라타, 75, 199
가라, 73, 178
라타, 64, 159
나나, 46, 162
나아, 84, 198
다다, 58, 154
마타, 95, 152
마자, 61, 158
하자, 62, 177
타라, 99, 146
파바, 97, 182
자카, 80, 160
하파, 81, 162
파라, 71, 185
사라, 47, 167
카마, 52, 193
가라, 77, 191
카카, 64, 164
하나, 94, 162
바파, 72, 197
하파, 87, 150
가마, 70, 170
바하, 52, 152
라타, 49, 165
나하, 68, 193
가마, 68, 189
파라, 74, 143
파타, 65, 172
하바, 92, 172
바바, 74, 176
라마, 98, 159
다사, 63, 153
라나, 78, 193
마바, 50, 160
마다, 52, 184
아하, 66, 172
자나, 99, 157
라라, 55, 180
하라, 97, 149
라자, 75, 190
나카, 68, 185
자가, 90, 146
마타, 41, 140
하가, 40, 150
자사, 71, 177
마사, 65, 161
파마, 58, 199
카사, 90, 173
사하, 81, 193
나라, 49, 199
나바, 74, 193
타라, 71, 180
파바, 43, 170
자사, 61, 180
나타, 82, 178
카자, 86, 198
사카, 63, 152
자파, 70, 186
하카, 95, 140
다바, 81, 155
자다, 58, 162
카자, 44, 195
카하, 66, 188
가나, 73, 143
가자, 66, 186
나자, 74, 159
하라, 65, 148
자나, 77, 143
파라, 40, 143
아라, 70, 195
사라, 83, 183
다카, 98, 155
사바, 90, 192
하자, 99, 177
마가, 59, 198
마나, 85, 160
사자, 53, 151
카바, 67, 186
마하, 67, 155
타하, 53, 199
카마, 90, 193
타나, 66, 175
파사, 77, 186
하자, 87, 147
하가, 86, 196
아파, 42, 187
타사, 88, 140
아마, 59, 151
하가, 40, 154
바바, 91, 149
아마, 68, 192
라카, 55, 161
바다, 61, 183
나가, 45, 195
다하, 51, 185
라파, 84, 162
가라, 75, 188
타다, 76, 198
자라, 79, 156
